Item Type,Item ID,Group,Res #,Title,URL,Difficulty,Reading Time,Why Read,Important Sections,Source File
Module,00-01,00-Foundations,1,"LangGraph Overview",https://langchain-ai.github.io/langgraph/concepts/high_level/,"Intro","20 min","See production agent runtime concerns (persistence, HITL)","Core benefits; ecosystem; persistence",Modules/00-Foundations/00-01-AI-Engineering-Mindset.md
Module,00-01,00-Foundations,2,"MCP Intro",https://modelcontextprotocol.io/docs/getting-started/intro,"Intro","15 min","Standard tool connectivity mindset","What MCP enables; why it matters",Modules/00-Foundations/00-01-AI-Engineering-Mindset.md
Module,00-01,00-Foundations,3,"OpenAI Prompt Engineering Guide",https://developers.openai.com/api/docs/guides/prompt-engineering,"Intro","45 min","Prompt as contract, not poetry","Tactics; message roles; iteration",Modules/00-Foundations/00-01-AI-Engineering-Mindset.md
Module,00-01,00-Foundations,4,"Anthropic / Claude Docs Overview",https://platform.claude.com/docs/en/docs/build-with-claude/overview,"Intro","30 min","Alternate provider constraints","Build with Claude overview",Modules/00-Foundations/00-01-AI-Engineering-Mindset.md
Module,00-01,00-Foundations,5,"Attention Is All You Need",https://arxiv.org/abs/1706.03762,"Advanced","60–90 min","Shared vocabulary for later chapters","Architecture diagram; attention",Modules/00-Foundations/00-01-AI-Engineering-Mindset.md
Module,00-01,00-Foundations,6,"ReAct: Synergizing Reasoning and Acting",https://arxiv.org/abs/2210.03629,"Intermediate","45 min","Grounds the agent loop chapter","Think-Act-Observe examples",Modules/00-Foundations/00-01-AI-Engineering-Mindset.md
Module,00-01,00-Foundations,7,"OWASP Top 10 for LLM Applications",https://owasp.org/www-project-top-10-for-large-language-model-applications/,"Intermediate","60 min","Safety mindset early","LLM01 Prompt Injection; data leakage",Modules/00-Foundations/00-01-AI-Engineering-Mindset.md
Module,00-02,00-Foundations,1,"Attention Is All You Need (Transformers)",https://arxiv.org/abs/1706.03762,"Advanced","60–90 min","Foundational architecture behind all modern LLMs; shared vocabulary for encoder/decoder and attention","§3 Model Architecture; §3.2 Attention; Figure 1",Modules/00-Foundations/00-02-From-Rules-to-Agents.md
Module,00-02,00-Foundations,2,"ReAct: Synergizing Reasoning and Acting in Language Models",https://arxiv.org/abs/2210.03629,"Intermediate","45–60 min","Research basis for Think → Act → Observe agent loops","§1 Introduction; §3 ReAct Prompting; Figures 1–3",Modules/00-Foundations/00-02-From-Rules-to-Agents.md
Module,00-02,00-Foundations,3,"OpenAI Prompt Engineering Guide",https://developers.openai.com/api/docs/guides/prompt-engineering,"Intro–Intermediate","45 min","Official tactics for reliable prompts as API contracts","Message roles; clear instructions; iterative development",Modules/00-Foundations/00-02-From-Rules-to-Agents.md
Module,00-02,00-Foundations,4,"LangGraph High-Level Concepts",https://langchain-ai.github.io/langgraph/concepts/high_level/,"Intermediate","25–35 min","Production agent runtime: persistence, HITL, state graphs","Core benefits; persistence/checkpointing; when to use LangGraph",Modules/00-Foundations/00-02-From-Rules-to-Agents.md
Module,00-02,00-Foundations,5,"Build with Claude (Anthropic Platform Overview)",https://platform.claude.com/docs/en/docs/build-with-claude/overview,"Intro–Intermediate","30–45 min","Provider comparison mindset; tool use and production constraints from a second major API","Overview; tool use; messages API patterns",Modules/00-Foundations/00-02-From-Rules-to-Agents.md
